id,pop,tot_germ,seed1,awn1,seed2,awn2,seed3,awn3,seed4,awn4,seed5,awn5,avg_seed,avg_awn,awn_seed,awn_seed1,awn_seed2,awn_seed3,awn_seed4,awn_seed5,avg_awn_seed
210,9,1,12.65,7.59,11.81,6.87,12.22,7.18,10.05,5.1,9.8,5.85,11.306,6.518,0.576508049,0.6,0.581710415,0.587561375,0.507462687,0.596938776,0.69003626
214,9,1,15.66,11.58,13.83,8.18,15.75,9.75,14.85,9.78,14.43,9.39,14.904,9.736,0.65324745,0.739463602,0.591467824,0.619047619,0.658585859,0.650727651,0.782508001
244,9,1,10.46,5.6,10.67,5.54,8.94,3.91,9.53,5.05,10.41,5.37,10.002,5.094,0.50929814,0.535372849,0.519212746,0.437360179,0.529905561,0.515850144,0.609399924
278,9,1,12.84,8.32,12.68,8.05,12.02,7.78,12.12,7.25,14.59,8.66,12.85,8.012,0.623501946,0.647975078,0.634858044,0.647254576,0.598184818,0.593557231,0.749066339
1,10,1,7.42,2.7,7.8,3.67,8.19,4.78,8.52,3.47,5.41,1.47,7.468,3.218,0.430905196,0.363881402,0.470512821,0.583638584,0.407276995,0.271719039,0.505586807
56,10,1,7.9,3.42,8.33,2.81,7.84,3.27,7.71,3.6,8.91,3.82,8.138,3.384,0.415826985,0.432911392,0.337334934,0.417091837,0.46692607,0.428731762,0.499764596
58,10,1,15.97,10.81,16.31,9.2,13.42,8.16,16.71,11.33,13.87,8.99,15.256,9.698,0.635684321,0.676894177,0.564071122,0.60804769,0.678037104,0.6481615,0.762179183
74,10,0.428571429,12.92,7.69,14.65,9.04,11.47,5.45,13.49,7.94,12.56,7.49,13.018,7.522,0.577815333,0.595201238,0.617064846,0.475152572,0.588584136,0.59633758,0.690031141
157,10,1,16.56,10.64,12.29,6.42,13.37,7.04,11.25,5.75,14.81,9.12,13.656,7.794,0.570738137,0.642512077,0.522375915,0.526551982,0.511111111,0.615800135,0.677817872
201,10,0.857142857,12.03,6.73,15.87,10.42,14.82,8.99,13.15,7.33,13.23,8.07,13.82,8.308,0.601157742,0.559434746,0.656584751,0.606612686,0.557414449,0.609977324,0.71823634
219,10,1,8.06,3.75,7.03,1.85,6.72,1.65,8.38,3.1,8.25,4.28,7.688,2.926,0.380593132,0.465260546,0.263157895,0.245535714,0.369928401,0.518787879,0.448652713
235,10,0.714285714,13.45,7.73,13.75,8.44,12.8,8.03,15.3,8.7,14.05,8.08,13.87,8.196,0.590915645,0.57472119,0.613818182,0.62734375,0.568627451,0.575088968,0.710103037
238,10,0.857142857,12.97,7.51,12.95,7.68,15.09,8.62,12.05,7.6,11.39,7.03,12.89,7.688,0.596431342,0.579028527,0.593050193,0.571239231,0.630705394,0.617208077,0.717532553
